x,y,z
560.3295220412633,281.83731132406746,a
473.80284567919256,418.08016812849735,a
474.329090204255,428.7481381206992,a
510.8004515642199,444.56921937649577,a
532.1036178736612,389.30866325384477,a
530.5694149377055,410.1149028947916,a
622.5643342538299,418.93677775244714,a
660.4597608025114,389.12343617751253,a
648.980439763906,386.7994817577005,a
655.1937869429207,397.7357762724432,a
664.5297602274184,343.502699208839,a
718.1914389904432,375.58014137080977,a
683.6052190598266,414.78828237994344,a
645.0433990633009,444.5488314764328,a
641.4010535285005,441.8813679185356,a
651.2234339004806,414.19790292501165,a
657.3936696465498,407.3215734133213,a
650.4027533325929,376.0207120610835,a
674.8325692063846,394.70920878664884,a
642.4434007599186,322.14217821115113,a
678.7512926244477,340.70754145732246,a
654.921905725,301.70274934188893,a
642.4391452308391,335.07209058252965,a
652.4554578838654,303.9469493336104,a
727.3056942680669,278.7950399074002,a
658.8101664399796,225.70967568026606,a
638.2914372064259,232.05983988074036,a
671.901905931431,188.2315553861368,a
653.2752079775673,161.793325244966,a
710.9137093420582,192.52188720243686,a
686.6230289789654,105.19963205283267,a
696.2120918699823,101.57873117657078,a
728.6104729762309,75.41480828922306,a
676.3709026783356,71.21194693628979,a
651.2331614747086,17.289662993314153,a
671.6072204531147,-1.5640865873862708,a
714.9118528466328,20.210969061448395,a
703.0424755534987,-5.12559272359033,a
608.6935831786618,346.15274609448386,a
666.4106420039257,301.88713020398666,a
667.0578857107939,288.71022824602926,a
597.3524053337693,302.18564785044083,a
602.0043681240794,270.01940830857995,a
580.3238809026151,201.53909039032396,a
620.8358557388134,206.5551615948778,a
591.0756279982904,186.81594771770023,a
635.0989461845327,151.12261022348662,a
620.5154063471783,149.4022402832881,a
641.644779898232,92.83609941327467,a
553.1408219080676,107.36089311301316,a
595.6616940809494,52.51330810528219,a
546.1435422836286,36.182929613188605,a
549.7319715906319,47.8748285965209,a
644.1138214054191,22.27922524595391,a
594.2806890348578,-15.43077528991796,a
314.57589346005705,383.5945331068327,a
235.3425209529736,394.07783139444814,a
298.55891476428474,418.81962501272824,a
294.9089628454783,400.4548263959951,a
287.10457606442753,392.66870420837546,a
262.50053982562764,405.6421533643818,a
237.7453323071588,434.2841538527215,a
228.3092370637254,424.50038566087596,a
183.7796646682241,452.3161179561498,a
225.21535292462772,388.3164280511141,a
159.1683065780216,422.0217925054127,a
139.43933818518326,388.834164397943,a
116.74327529499253,418.25845198516583,a
150.1025238147209,440.90703316638553,a
90.4103711002655,460.14502506725734,a
68.93596500584786,407.56722826659046,a
82.23991284962162,403.0291240270924,a
60.38762834080465,396.9461333183843,a
54.16133476282542,420.8871196953779,a
24.81068596277278,408.8081032104874,a
28.874924769897742,405.02490431017134,a
57.18048420363089,378.8785952776084,a
62.90309017722588,392.7305701102199,b
3.4569864446871463,328.60857374697036,b
91.30278877460859,340.57678110093116,b
49.57341445471746,352.2234359860325,b
72.97816260957013,371.13253055122834,b
88.25145035798299,343.1959289363427,b
111.92213944830735,366.4828075207258,b
111.76065998440197,329.37287273887,b
107.15063169289832,369.14591641229435,b
75.23395043440311,342.60094258676224,b
178.2786322255178,321.10306498618047,b
164.47604926350843,311.12460368790323,b
210.60285947605732,374.6502850354128,b
248.70442646014172,393.7736486173564,b
199.0584296232252,342.7912078603471,b
244.77363830995125,412.43343849708765,b
309.6323216957911,351.81637193605627,b
347.04016731212863,389.6762799512051,b
315.894056588365,393.4667329938181,b
398.120465388831,383.09101485100575,b
387.1154363140185,357.01193511900595,b
392.5072718663024,362.3377223445235,b
439.53336347433117,363.7657053124666,b
438.3341797583541,336.1801195642289,b
522.5543100688898,319.71881446538396,b
489.9784993823191,278.42567225852156,b
465.3246069777082,306.2728909636378,b
511.35522078544744,293.340827034081,b
502.41167690541965,325.1782575976822,b
473.6956386880251,340.41906103661495,b
507.6115395295363,324.2402808511282,b
410.3737708937382,332.3613765288212,b
437.58423493837836,299.32978676412404,b
468.52386829308267,304.72444754278456,b
419.6661504377498,312.1648014330593,b
401.6276985202734,305.3409318899539,b
323.4701492575615,317.7205338145121,b
299.48100974158183,297.6169356907268,b
327.93478150514557,322.44061341536474,b
331.50853630917373,276.38082536101297,b
303.29008986562945,304.7232422452678,b
248.53040138123134,316.95475311492623,b
250.5448022649194,288.6869754557587,b
195.9479012210425,331.54863885193083,b
184.15937569607294,288.2861656748946,b
137.51110579703453,312.29628328822866,b
105.94141653821279,282.16298745777453,b
19.548576175705314,301.4875328750205,b
21.116035013130528,332.2745605787178,b
216.07194840820017,359.475004886854,b
298.14120794766,364.2776582086764,b
293.5254877442946,354.69649727563393,b
265.7566109791693,307.53335782078625,b
279.0435697317124,351.4014152626746,b
315.24241127311535,331.8228991929142,b
312.6862118729036,360.4502676652794,b
347.72168954629814,307.29867241934016,b
422.9004352284412,352.96368600122116,b
406.43580537980154,365.8611427016685,b
390.3785046761423,363.7903717133777,b
490.87356137898195,318.90770269518805,b
457.3238438151033,310.913818908662,b
486.86793926994034,261.1549458425253,b
482.40435859638967,278.80352373976115,b
414.66844027162927,311.67518726110666,b
495.08552344167913,253.4293522850524,b
482.3554466747697,261.28705498236883,b
549.3942188929443,268.1630609716576,b
470.5406643873823,180.5807956772956,b
530.1025200502418,204.5655960497204,b
569.0943655725449,197.17564038896717,b
495.4804488726546,155.14525064151286,b
546.3996037937479,173.93679296587885,b
561.1148943998409,172.4758781612427,b
522.7255192262403,111.10037368086643,b
501.6972400269937,123.60847150065456,b
597.7380539879465,81.77697502143485,b
566.9183209534255,109.99270380544021,b
553.5783896183698,35.32611014725279,b
548.3707248883516,-10.581154303433095,b
455.85842003098816,25.501650305169676,b
537.5573678141402,37.10749521320349,b
544.3882867966382,45.36196751575477,b
488.9416328780597,55.285710824589444,b
490.96288063618,53.61284919725074,b
450.4251038504043,30.82649182537807,b
476.13330860335816,88.43905343314105,b
447.4593598159654,98.13538823751583,b
472.61162805508326,129.77667065382917,b
479.03185153939785,110.45327886103018,b
437.34576679236955,104.87459791501607,b
434.64332723506385,150.36312215958577,b
413.3047906496824,177.00535584919794,b
447.30912488964077,212.24548603545094,b
403.80181523100487,233.03297294842213,b
399.29689242736856,264.1476649035897,b
386.41494300759473,246.69533978676537,b
426.9446054458125,246.56092211165836,b
373.5532617331849,283.2841325986898,b
357.1449668826024,294.72817823585285,b
327.4577721826716,227.75377706240118,b
362.878503663451,250.9691696531147,b
349.28866307439154,234.79057144365004,b
281.5072934520098,190.4610359671949,b
296.2169284781048,211.4970972175301,b
250.93079654602394,199.76726205799622,b
238.99522451833653,223.42645544414842,b
207.81216044044868,211.11936630141338,b
154.36485518503343,222.08750049747022,b
117.04748972753372,242.58122869642972,b
141.83091114527213,213.26314681653554,b
80.71517068274703,297.9613776744684,b
70.35017364313579,242.2271092031366,b
22.341420707868384,257.57619019830395,b
-42.92856377707229,256.9189878066187,b
38.690586967383176,195.9875651461232,b
62.136795659943694,204.49019915746652,b
38.855438529891515,230.45781869260196,b
63.829359513197716,183.99969566374654,b
92.63856051369179,212.5229123345219,b
123.28938576693366,178.14180834996978,b
150.49417137779233,177.00484160491328,b
255.27984605816948,163.59800874600006,b
263.22788704879906,145.62990528440025,b
331.33713440097796,183.5241879973741,b
364.71062436950734,201.81649559271438,b
404.834373913108,172.129759826154,b
402.25188380543,159.3310906308244,b
471.3134092658687,190.16036707506424,b
337.84412873421235,123.93635662299369,b
347.58549262906695,96.1654133746539,b
415.6951321292533,62.71994245829279,b
397.19213494966993,105.76375404043642,b
398.0631518837365,139.27674486232024,b
287.1822504712709,144.02638923664972,b
267.81359899444504,115.94295192298239,b
288.3853221625435,132.67326554701827,b
205.44758140580285,144.91758901521519,b
156.75676852266992,131.52689553511186,b
149.74237738251347,118.02530892462579,b
-4.022734660797667,161.03028024502578,b
355.23551440509675,277.19953269976065,b
329.81985125407084,245.09110708827316,b
364.95575216473515,254.35100589125415,b
290.2557302881908,309.78218979130526,b
297.08300573182424,245.03114279801716,b
245.82687043656477,275.7570970391946,b
196.50909958139292,264.50550800103275,b
181.75080739227187,269.2510046997774,b
173.5253612978768,255.94308813413448,b
133.1317072359156,277.6575112140299,b
111.96368205934799,251.94238625129722,b
100.04570679252855,233.0989975972514,b
40.915565484884944,249.4192700158135,b
26.69851517185993,234.07161687538286,b
37.723874029989,229.47467384704146,b
36.00321610433531,76.74526142779166,b
-4.506901293397931,110.20976511307657,b
74.0262362305249,145.28504234914817,b
31.18736257451495,114.86770924736857,b
2.7748236706801706,66.93180203122523,b
24.143628553921346,119.87955685121983,b
61.554381607434784,95.28836435525977,b
39.577921959805714,92.63627502967017,b
91.62306411391079,112.16357811602427,b
98.11052119114007,101.42122035523312,b
107.44045474754401,86.43883013724343,b
126.21993909617862,65.92080585120834,b
257.09143712675404,110.18608076382179,b
263.9941124778681,66.51366354751246,b
370.1812582164466,78.33572331791896,b
418.74267210297074,18.123268317534723,b
379.65817644066294,28.38379735207201,b
399.98535288212537,33.52940972722928,b
404.1478503140123,46.88579885573796,b
331.1635561740098,22.71434773052823,b
336.81334685402766,10.863452182276546,b
285.5231303244316,-10.323821770431664,b
275.0724307288875,7.259121408514659,b
270.9221284466568,27.02910144996889,b
228.0176915043184,15.223278763372548,b
144.06053047904084,39.251371583934315,b
144.22340367077004,5.296458291557997,b
112.51148649300319,26.607011895387643,b
87.73447860787306,69.22406282363727,b
29.174287228560342,70.35340583380093,b
183.3093680698316,104.48573345129597,b
267.46490854797116,93.00922760371259,b
190.71993165613006,90.55168573764104,b
224.57993286258022,140.18396143882416,b
172.5510837435204,101.25135468040116,b
177.76191750554005,35.510496852835956,b
247.6403952887633,38.88080373065969,b
241.25974923925338,-13.520004452481203,b
192.3763201986396,40.698786288566055,b
188.43492043964784,43.82387294301958,b
